Metadata_broad_sample,Metadata_moa
BRD-K82795137-001-26-2,histamine receptor antagonist
BRD-K82967685-300-01-2,phosphodiesterase inhibitor
BRD-A82772293-001-03-2,mucosa associated lymphoid tissue lymphoma translocation protein 1 (MALT1) inhibitor
BRD-K82846253-001-15-4,insulin secretagogue
BRD-K82941592-238-04-5,HMGCR inhibitor
BRD-K83057217-001-01-2,thymidylate synthase inhibitor
BRD-K83699324-001-01-1,PLK inhibitor
BRD-K83794243-001-01-8,retinoid receptor agonist
BRD-K83963101-001-06-9,Aurora kinase inhibitor
BRD-K84091759-001-07-1,angiotensin receptor antagonist
BRD-K83720053-001-03-8,gamma secretase inhibitor
BRD-K83837640-001-04-8,HDAC inhibitor
BRD-K84163249-001-01-9,vitamin D receptor agonist
BRD-K84683831-001-01-0,bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor
BRD-K84794093-001-07-5,nucleoside reverse transcriptase inhibitor
BRD-K84810405-003-01-1,orexin receptor antagonist
BRD-K84698278-001-03-4,melatonin receptor agonist|serotonin receptor antagonist
BRD-K84783599-001-01-0,guanylate cyclase stimulant
BRD-K84798689-236-02-9,inward rectifier potassium channel activator
BRD-K84892605-001-01-1,CFTR channel antagonist
BRD-K85119730-001-28-9,ATP channel blocker
BRD-K85337334-004-02-6,acetylcholine receptor antagonist
BRD-A85439007-001-01-6,DNA synthesis inhibitor
BRD-K85606544-001-09-1,EGFR inhibitor
BRD-K85307935-236-09-5,bacterial DNA gyrase inhibitor
BRD-K85406984-001-01-0,thyroid hormone receptor agonist
BRD-A85548292-001-01-8,cyclooxygenase inhibitor
BRD-K85679373-001-01-1,beta lactamase inhibitor
BRD-K86307448-001-17-5,xanthine oxidase inhibitor
BRD-K86797399-001-04-4,HDAC inhibitor
BRD-A86871940-001-01-9,free radical scavenger
BRD-A86248581-001-01-4,cytidine deaminase inhibitor
BRD-K86525559-001-04-5,CHK inhibitor
BRD-K86816506-001-01-8,FAAH inhibitor
BRD-K86882815-001-03-2,dopamine receptor agonist
BRD-A68009927-003-03-7,RNA synthesis inhibitor|topoisomerase inhibitor
BRD-K35960502-001-20-0,DNA replication inhibitor|STAT inhibitor
BRD-K63712959-001-01-8,radical formation stimulant
BRD-K99107520-001-24-1,glutamate receptor antagonist
BRD-A36010170-001-04-0,glucocorticoid receptor agonist
BRD-K36269323-300-02-6,nitric oxide synthase inhibitor
BRD-K36740062-001-06-6,Aurora kinase inhibitor
BRD-K36927236-001-32-6,ATP channel blocker|insulin secretagogue|sulfonylurea
BRD-K31928526-001-02-1,Aurora kinase inhibitor
BRD-K36862742-001-25-6,sodium/potassium/chloride transporter inhibitor
BRD-K36970462-001-01-6,gap junction modulator|nitric oxide production inhibitor
BRD-K37516142-001-10-5,calcium channel modulator
BRD-K34415467-003-13-0,histamine receptor antagonist
BRD-K32318651-001-23-7,DNA polymerase inhibitor
BRD-K34008116-001-01-7,serotonin receptor antagonist
BRD-K36270037-001-01-7,antioxidant
BRD-A50684349-003-02-9,dopamine receptor agonist
BRD-K33251802-001-01-3,Glycosyl transferase inhibitor
BRD-K47539947-001-03-7,lipid peroxidase inhibitor
BRD-K58550667-001-08-7,niacinamide phosphoribosyltransferase inhibitor
BRD-K60038276-001-09-0,angiotensin receptor antagonist
BRD-K73691377-001-01-6,prostanoid receptor agonist
BRD-K82164249-001-03-5,androgen receptor modulator
BRD-K69688083-004-23-1,cholinesterase inhibitor
BRD-K77771411-003-10-7,imidazoline receptor agonist
BRD-K76703230-004-04-1,survivin inhibitor
BRD-K80535353-001-01-4,gap junction modulator
BRD-A20131130-001-01-7,NA
BRD-K91290917-300-01-8,histamine receptor agonist
BRD-K96029467-003-01-9,glycosylation inhibitor
BRD-K75024268-001-01-0,uric acid diuretic
BRD-K89104321-003-14-8,GABA receptor agonist
BRD-K89015388-001-01-7,centromere associated protein inhibitor
BRD-K92731339-227-04-9,angiotensin converting enzyme inhibitor
BRD-K90239174-001-01-8,CC chemokine receptor antagonist
BRD-K03353589-236-01-4,gastrin inhibitor|urease inhibitor
BRD-K97688263-001-03-7,sodium channel blocker
BRD-K31339321-001-03-6,phosphodiesterase inhibitor
BRD-K35007173-001-07-5,phosphodiesterase inhibitor
BRD-M98279124-300-01-1,acetylcholine receptor agonist
BRD-K87202646-061-04-9,cyclooxygenase inhibitor
BRD-K98453471-001-01-7,mTOR inhibitor
BRD-K87990216-001-10-2,glucocorticoid receptor agonist
BRD-K88052444-001-08-8,hydroxy radical formation stimulant
BRD-K88807631-001-01-3,P glycoprotein inhibitor
BRD-A87983072-001-01-1,CCK receptor antagonist
BRD-K88025533-003-03-3,immunosuppressant|sphingosine 1 phosphate receptor agonist
BRD-K88789588-001-14-9,aromatase inhibitor
BRD-K87278688-001-01-0,adrenergic receptor agonist
BRD-A49838158-001-01-1,vitamin K antagonist
BRD-K89561498-001-01-7,topoisomerase inhibitor
BRD-K89704198-001-12-3,adrenergic receptor antagonist
BRD-K89014967-001-04-3,MEK inhibitor
BRD-K89402695-001-02-3,thromboxane receptor antagonist
BRD-A89585551-003-16-6,adenosine receptor antagonist|hemoglobin antagonist
BRD-K90789829-001-07-8,adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin reuptake inhibitor
BRD-K25412176-001-01-9,AKT inhibitor
BRD-K24771047-001-01-6,glutamate receptor agonist
BRD-K28307902-001-21-7,androgen receptor antagonist
BRD-K26823213-001-02-9,cannabinoid receptor agonist
BRD-K31342827-001-08-8,PKC inhibitor
BRD-K28392481-001-05-1,FGFR inhibitor
BRD-K28428262-001-04-1,FGFR inhibitor|VEGFR inhibitor
BRD-K28822270-001-01-1,HDAC inhibitor
BRD-K28936863-051-33-0,histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor
BRD-K28456624-001-01-1,vitamin D receptor agonist
BRD-K28912512-001-23-2,protein synthesis stimulant
BRD-K28965160-001-01-1,MAP kinase inhibitor
BRD-K29458283-001-29-9,DNA inhibitor
BRD-A29485665-001-12-8,androgen receptor antagonist
BRD-K29530284-001-06-2,histamine receptor modulator
BRD-A29844814-300-01-5,acetylcholine receptor agonist
BRD-K29950728-048-17-4,estrogen receptor antagonist
BRD-A29520968-001-02-7,cholesterol inhibitor
BRD-A29854054-236-12-6,CCK receptor antagonist
BRD-K29968218-001-03-2,src inhibitor|tubulin inhibitor
BRD-K30563334-001-02-9,protein synthesis inhibitor
BRD-A30815329-001-10-5,calcium channel blocker
BRD-K26667523-001-02-5,MEK inhibitor
BRD-K30685142-001-15-4,thyroid hormone stimulant
BRD-A30984645-001-01-5,Bruton's tyrosine kinase (BTK) inhibitor
BRD-K26325692-003-01-3,sigma receptor antagonist
BRD-A28746609-001-11-5,tubulin inhibitor
BRD-K28115081-001-02-7,platelet activating factor receptor antagonist
BRD-K30020243-051-02-5,renin inhibitor
BRD-K31092604-003-03-5,serotonin receptor agonist
BRD-A31095847-001-02-3,vasopressin receptor antagonist
BRD-K29133151-001-03-2,thromboxane receptor antagonist
BRD-K30550578-001-01-3,diacylglycerol O acyltransferase inhibitor
BRD-K31447894-236-01-0,HMGCR inhibitor
BRD-K32107296-001-16-9,DNA alkylating drug
BRD-A32172948-001-07-6,angiotensin converting enzyme inhibitor
BRD-K31519811-001-02-2,phosphodiesterase inhibitor
BRD-K32164935-001-30-8,ATP channel blocker
BRD-K32218650-001-01-6,"Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Agonists"
BRD-K31495718-001-01-1,diacylglycerol O acyltransferase inhibitor
BRD-K31476763-001-01-5,elastase inhibitor
BRD-K32977963-001-05-0,androgen receptor antagonist
BRD-K33106058-001-16-8,ribonucleotide reductase inhibitor
BRD-K33483813-001-10-0,interleukin receptor agonist
BRD-A33692381-001-01-9,reverse transcriptase inhibitor
BRD-A33084557-001-06-6,sterol demethylase inhibitor
BRD-K33127281-001-05-6,retinoid receptor agonist
BRD-K33610132-001-02-9,EGFR inhibitor
BRD-A33697453-008-02-4,bacterial cell wall synthesis inhibitor
BRD-A34255068-001-34-5,phosphodiesterase inhibitor
BRD-K34157611-001-16-0,histamine receptor antagonist
BRD-K28470988-001-02-0,inositol monophosphatase inhibitor
BRD-K34185671-001-02-8,TRPV antagonist
BRD-K34313798-001-01-6,glutamate receptor antagonist
BRD-K34888156-213-01-4,phosphodiesterase inhibitor
BRD-K35169477-001-01-9,cannabinoid receptor inverse agonist
BRD-K25114078-003-08-1,nitric oxide synthase inhibitor
BRD-K25204779-001-01-1,helicase primase inhibitor
BRD-K25361343-001-01-6,matrix metalloprotease inhibitor
BRD-K25140590-001-03-0,glutamate receptor modulator
BRD-A25234499-001-18-3,glucocorticoid receptor antagonist
BRD-K25394294-001-14-9,cyclooxygenase inhibitor
BRD-K25650355-065-02-0,cholinesterase inhibitor
BRD-K25943794-001-02-3,dopamine receptor antagonist|serotonin receptor antagonist
BRD-A26032986-050-02-1,calmodulin antagonist
BRD-K25837718-001-03-8,bacterial 50S ribosomal subunit inhibitor
BRD-K26011976-001-01-0,topoisomerase inhibitor
BRD-A26095496-001-04-0,glucocorticoid receptor agonist
BRD-A26334849-001-06-2,antiarrhythmic
BRD-K26603252-003-04-9,EGFR inhibitor
BRD-K26657438-001-15-2,interferon inducer|TLR agonist
BRD-A26690767-066-01-9,HIV protease inhibitor
BRD-A26711594-003-10-6,calcium channel blocker
BRD-K26619122-001-02-1,GABA receptor antagonist
BRD-K26701552-001-01-8,HCV inhibitor|protease inhibitor
BRD-K26712974-001-01-5,caspase inhibitor
BRD-A27376179-001-01-3,FLT3 inhibitor|growth factor receptor inhibitor|JAK inhibitor
BRD-K27938825-001-02-4,angiogenesis inhibitor
BRD-K28183345-003-11-4,dihydrofolate reductase inhibitor
BRD-A27732521-003-08-3,voltage-gated sodium channel blocker
BRD-K27955832-001-02-9,O6-alkylguanine-DNA alkyltransferase inhibitor
BRD-K28143534-003-25-9,histamine receptor antagonist
BRD-K28217197-001-01-4,GABA receptor modulator
BRD-A28467416-002-01-0,mTOR inhibitor|PI3K inhibitor
BRD-A28545468-003-16-6,monoamine oxidase inhibitor
BRD-K28731095-001-01-7,vitamin D receptor agonist
BRD-K28761891-001-10-1,melatonin receptor agonist
BRD-K28542495-003-13-5,prostanoid receptor antagonist
BRD-K28667793-001-28-1,fatty acid synthase inhibitor
BRD-A28787076-001-04-8,neurotrophic agent
BRD-K28971625-003-01-4,adrenergic receptor agonist
BRD-A29289453-001-04-7,platelet activating factor receptor antagonist
BRD-K29322660-001-01-9,coagulation factor inhibitor
BRD-K28984613-001-01-5,5 alpha reductase inhibitor
BRD-A29260609-003-26-0,adrenergic receptor antagonist
BRD-A29322418-237-04-0,mineralocorticoid receptor antagonist
BRD-K29359156-001-30-1,cyclooxygenase inhibitor|glutathione peroxidase agonist|H+/K+-ATPase inhibitor|nitric oxide synthase inhibitor
BRD-K29582115-066-01-2,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K29653726-001-13-4,carbonic anhydrase inhibitor|glutamate receptor antagonist|kainate receptor antagonist
BRD-K29673530-001-05-4,tyrosine kinase inhibitor
BRD-A29734509-011-13-6,sodium channel blocker
BRD-A29623586-001-01-3,lipid peroxidase inhibitor
BRD-K29656036-001-02-5,stearoyl-CoA desaturase inhibitor
BRD-A29731977-001-04-5,progesterone receptor agonist
BRD-K29735307-001-02-9,androgen receptor modulator
BRD-K30126819-304-02-7,tubulin inhibitor
BRD-K30421593-050-04-9,adrenergic receptor antagonist
BRD-K30480208-001-18-5,electrolyte reabsorption inhibitor|thromboxane receptor antagonist
BRD-A30051119-002-01-8,bacterial 30S ribosomal subunit inhibitor
BRD-K30331124-001-01-7,androgen receptor enhancer
BRD-K30466858-001-09-6,glutathione transferase inhibitor|reverse transcriptase inhibitor
BRD-K03842655-001-02-1,NA
BRD-K15502390-001-20-9,reverse transcriptase inhibitor
BRD-K15567136-003-27-2,phosphodiesterase inhibitor
BRD-A15909516-001-06-6,free radical scavenger
BRD-K15507868-001-03-7,insulin sensitizer|PPAR receptor agonist
BRD-K15766189-001-09-8,bacterial cell wall synthesis inhibitor
BRD-K15916496-001-27-9,cytochrome P450 inhibitor|imidazoline ligand
BRD-K15933101-003-06-1,dopamine receptor agonist
BRD-K16037980-001-01-1,N-type calcium channel blocker
BRD-K16133773-001-01-9,androgen biosynthesis inhibitor
BRD-K15976406-001-03-3,DNA polymerase inhibitor
BRD-K16077845-001-06-1,cyclooxygenase inhibitor
BRD-K16195444-003-26-0,adrenergic receptor agonist
BRD-K16295392-003-01-3,endothelin receptor antagonist
BRD-A16296925-001-01-3,cyclooxygenase inhibitor|platelet aggregation inhibitor
BRD-K16444452-001-09-1,leukotriene receptor antagonist|phosphodiesterase inhibitor
BRD-K16508793-001-05-9,benzodiazepine receptor agonist
BRD-A16665823-001-02-0,bacterial cell wall synthesis inhibitor
BRD-A16347691-001-13-1,reducing agent
BRD-K16542329-001-13-5,phosphodiesterase inhibitor
BRD-K16730910-001-07-3,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
BRD-K16732600-001-01-7,glucagon receptor antagonist
BRD-K16761703-001-03-8,PKC inhibitor
BRD-K16898998-001-01-6,HIV capsid assembly inhibitor
BRD-K16757695-050-02-5,serotonin receptor antagonist
BRD-K16762525-001-01-6,bacterial 50S ribosomal subunit inhibitor
BRD-K16803204-001-01-6,JAK inhibitor
BRD-A16997652-001-02-3,thyrotropin releasing hormone receptor agonist
BRD-K17026858-001-01-2,DNA inhibitor
BRD-K17075857-001-17-6,opioid receptor antagonist
BRD-A17411484-001-11-9,cyclooxygenase inhibitor
BRD-A17462676-003-11-6,adrenergic receptor agonist
BRD-K17068645-003-04-2,DNA inhibitor
BRD-K17203476-001-01-9,FGFR antagonist
BRD-K17498618-344-02-6,acetylcholine receptor antagonist
BRD-K17500877-001-02-1,interferon inducer
BRD-K17561142-003-32-5,potassium channel blocker
BRD-K17705806-003-04-4,opioid receptor antagonist
BRD-K17513304-001-01-9,integrin antagonist
BRD-K17555800-003-01-5,p38 MAPK inhibitor
BRD-A17655518-001-24-4,cyclooxygenase inhibitor
BRD-K17743125-001-08-4,HDAC inhibitor
BRD-K17849083-001-31-1,angiogenesis inhibitor
BRD-K17894950-001-14-3,CDK inhibitor|glycogen synthase kinase inhibitor
BRD-K17944737-001-02-1,DNA synthesis inhibitor
BRD-A18043272-001-09-9,succinimide antiepileptic
BRD-A17883755-001-06-1,anticancer agent
BRD-K17930269-001-01-8,protein synthesis inhibitor
BRD-K17953908-001-01-7,beta-secretase inhibitor
BRD-K99964838-001-11-9,Abl kinase inhibitor|Bcr-Abl kinase inhibitor|src inhibitor
BRD-K18194590-065-08-0,adrenergic receptor agonist
BRD-K12184916-001-15-4,mTOR inhibitor|PI3K inhibitor
BRD-K18673820-001-15-5,folate receptor ligand
BRD-K18157228-001-01-7,DNA methyltransferase inhibitor
BRD-K18324993-001-01-6,glutamate receptor antagonist
BRD-A18620900-001-05-2,estrogen receptor agonist
BRD-K18678457-003-02-8,HCN channel blocker
BRD-K31111078-001-04-2,"nuclear factor erythroid derived, like (NRF2) activator"
BRD-A31159102-003-30-4,selective serotonin reuptake inhibitor (SSRI)
BRD-K23499943-003-01-6,HSP inhibitor
BRD-K31135544-001-07-0,adenosine receptor agonist
BRD-K31309378-001-01-5,FGFR inhibitor|VEGFR inhibitor
BRD-K31385749-003-01-3,HCN channel antagonist|potassium channel blocker|sodium channel blocker
BRD-A31521121-001-26-4,muscle relaxant
BRD-K31731454-237-02-5,mediator release inhibitor
BRD-K31812033-003-11-0,adrenergic receptor antagonist
BRD-K31627533-001-09-5,glucocorticoid receptor agonist
BRD-A31811760-001-06-7,membrane integrity inhibitor
BRD-K31841515-001-07-8,xanthine oxidase inhibitor
BRD-K32101625-001-01-6,tryptophan hydroxylase inhibitor
BRD-K32247306-001-29-4,GABA receptor antagonist
BRD-K32285926-001-02-1,tyrosine kinase inhibitor
BRD-K32405725-001-02-8,carnitine palmitoyltransferase inhibitor
BRD-K32744045-001-31-2,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
BRD-A32269193-001-01-5,tumor necrosis factor receptor antagonist
BRD-K32501161-300-06-2,dopamine uptake inhibitor
BRD-K32821942-001-21-3,dehydrogenase inhibitor
BRD-K33141550-003-05-7,nitric oxide synthase inhibitor
BRD-K33211335-004-01-7,glutamate receptor antagonist|sigma receptor agonist
BRD-A33447119-001-10-8,anthelmintic agent
BRD-A33168282-003-18-0,adrenergic receptor antagonist
BRD-K33226500-001-01-0,HIV protease inhibitor
BRD-K33379087-001-07-5,tyrosine kinase inhibitor
BRD-K33453211-003-11-5,histamine receptor antagonist
BRD-A33711280-003-03-1,acetylcholine receptor antagonist
BRD-K33852358-001-09-9,phosphodiesterase inhibitor
BRD-A34006693-001-15-4,cyclooxygenase inhibitor
BRD-K34022604-001-06-6,ribonucleoside reductase inhibitor
BRD-K33732501-004-01-0,opioid receptor antagonist
BRD-K33882852-003-02-8,benzodiazepine receptor agonist
BRD-K34154330-003-06-4,GABA receptor modulator
BRD-K96550715-001-02-6,dipeptidyl peptidase inhibitor
BRD-A34513497-002-02-3,osmosis stimulant
BRD-K34776109-001-16-6,insulin secretagogue
BRD-K34341643-001-01-4,hedgehog pathway inhibitor
BRD-K34469523-003-03-0,adrenergic receptor agonist
BRD-K34713073-001-01-3,angiotensin antagonist
BRD-K34870043-001-01-8,dopamine receptor antagonist|serotonin receptor agonist
BRD-K35245662-001-01-2,glucocorticoid receptor agonist
BRD-K35586044-003-15-4,adrenergic receptor antagonist
BRD-K35629949-001-02-0,CCK receptor antagonist
BRD-K35719256-001-02-6,serotonin receptor agonist
BRD-K35520305-001-17-7,DNA alkylating agent
BRD-K35589454-003-01-1,gap junction modulator
BRD-K35687421-001-02-5,dihydropyrimidine dehydrogenase inhibitor
BRD-K35775715-001-03-1,fungal squalene epoxidase inhibitor
BRD-A36331462-001-02-1,proteasome inhibitor
BRD-K36467523-001-02-8,NFkB pathway inhibitor
BRD-K36680103-001-01-6,cardiac myosin activator
BRD-K36280065-048-01-2,JAK inhibitor
BRD-K36386086-001-01-1,HIV integrase inhibitor
BRD-K36627727-001-05-4,retinoid receptor agonist
BRD-K36732695-001-01-9,adrenergic receptor antagonist
BRD-A18611368-001-01-5,beta lactamase inhibitor
BRD-K18779551-003-07-8,acetylcholine release stimulant
BRD-A19195498-050-14-1,norepinephrine reputake inhibitor|tricyclic antidepressant
BRD-K53097745-001-01-5,cyclooxygenase inhibitor|PPAR receptor agonist
BRD-K18850819-001-04-6,gamma secretase inhibitor
BRD-K19284129-001-02-6,opioid receptor agonist
BRD-K19352500-070-12-4,dopamine receptor antagonist
BRD-A19661776-003-27-6,serotonin receptor antagonist
BRD-A19736161-001-06-7,serotonin receptor antagonist
BRD-K19388745-003-01-7,adenylyl cyclase activator
BRD-K19687926-379-07-4,EGFR inhibitor|ErbB2 inhibitor
BRD-A19633847-050-32-1,carnitine palmitoyltransferase inhibitor
BRD-K20285085-001-07-1,SYK inhibitor
BRD-A20119038-003-07-8,acetylcholine receptor antagonist
BRD-K20141153-003-13-7,norepinephrine transporter inhibitor
BRD-K21361524-001-01-1,exportin antagonist
BRD-K21450440-001-14-6,carbonic anhydrase inhibitor
BRD-A20126139-001-04-2,glucocorticoid receptor agonist
BRD-K21396683-001-04-8,matrix metalloprotease inhibitor
BRD-K21295289-001-01-6,intermediate conductance potassium channel blocker
BRD-K21908111-001-01-8,Pim kinase inhibitor
BRD-K22031190-001-23-6,prostanoid receptor antagonist
BRD-A02006392-001-10-7,calcium channel blocker
BRD-K22024824-001-03-7,gamma secretase inhibitor
BRD-A22032524-074-06-5,calcium channel blocker
BRD-K22848513-001-01-9,"nuclear factor erythroid derived, like (NRF2) activator"
BRD-K22822991-001-02-3,cathepsin inhibitor
BRD-K22749967-046-02-3,histamine receptor antagonist
BRD-K23672206-001-01-4,glutamate receptor agonist
BRD-K23728141-001-01-2,transthyretin amyloid inhibitor
BRD-K23363278-001-02-1,tubulin inhibitor
BRD-A22769835-300-05-7,antihistamine
BRD-K23677682-003-01-2,topoisomerase inhibitor
BRD-K24844714-001-24-5,thymidylate synthase inhibitor
BRD-K24616672-003-20-1,HMGCR inhibitor
BRD-K19939891-001-05-4,AKT inhibitor|TRAIL modulator
BRD-K21718444-001-06-8,Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor
BRD-K24723746-036-02-5,acetylcholine receptor antagonist
BRD-K19540840-001-09-4,src inhibitor
BRD-K20920669-304-09-1,immunosuppressant
BRD-K22134346-001-22-3,HMGCR inhibitor
BRD-K23976833-001-01-0,prostanoid receptor agonist
BRD-K23248433-001-01-8,motilin receptor agonist
BRD-K24968862-001-01-0,integrin antagonist
BRD-K25630527-001-03-8,JAK inhibitor
BRD-A24228527-213-01-9,bacterial DNA gyrase inhibitor
BRD-K24943235-001-01-3,HCV inhibitor
BRD-A25619068-003-03-4,aromatase inhibitor
BRD-K25433859-003-25-4,norepinephrine reputake inhibitor|tricyclic antidepressant
BRD-A26384407-001-25-1,carbonic anhydrase inhibitor
BRD-A26503646-001-16-6,aromatase inhibitor
BRD-K27184429-300-01-3,histamine receptor antagonist
BRD-K26341917-001-01-3,free radical scavenger
BRD-A26423207-001-01-0,bacterial DNA gyrase inhibitor
BRD-K27182532-001-02-3,Bcr-Abl kinase inhibitor
BRD-K27204852-001-01-9,cathepsin inhibitor
BRD-K07881437-001-03-8,Aurora kinase inhibitor|growth factor receptor inhibitor
BRD-A07986123-001-02-8,androgen receptor modulator
BRD-K08109215-001-06-4,bromodomain inhibitor
BRD-K07954936-001-01-3,nitric oxide synthase inhibitor
BRD-K08037784-001-12-6,melanin inhibitor
BRD-A08187463-001-12-9,enkephalinase inhibitor
BRD-K08206212-002-01-0,DNA replication inhibitor|reverse transcriptase inhibitor
BRD-K08252256-236-33-8,cyclooxygenase inhibitor
BRD-K08547377-394-03-5,topoisomerase inhibitor
BRD-K08248804-001-01-8,XIAP inhibitor
BRD-A08545410-311-01-8,metalloproteinase inhibitor
BRD-K08586861-001-01-1,prostanoid receptor antagonist
BRD-K08703257-001-12-1,PARP inhibitor
BRD-K08799216-001-05-3,EGFR inhibitor
BRD-K08859203-001-01-9,structural glycoprotein antagonist
BRD-K08924299-003-06-1,serotonin receptor antagonist
BRD-K09078998-001-01-4,mTOR inhibitor
BRD-K08832567-001-11-5,aromatase inhibitor|TRPV antagonist
BRD-K08976401-001-18-5,tyrosinase inhibitor
BRD-K09090949-001-01-9,cannabinoid receptor antagonist
BRD-K09132007-001-07-5,TGF beta receptor inhibitor
BRD-A09349126-001-10-7,progesterone receptor agonist
BRD-K09426783-300-01-0,topoisomerase inhibitor
BRD-K09255212-001-16-6,chelating agent
BRD-K09372874-001-01-0,inosine monophosphate dehydrogenase inhibitor
BRD-K09397065-003-06-1,serotonin receptor agonist
BRD-K09471561-001-18-2,bacterial DNA gyrase inhibitor
BRD-A09472452-015-23-4,sodium channel blocker
BRD-K09549677-300-03-4,T-type calcium channel blocker
BRD-K09711437-001-04-3,secretory phospholipase inhibitor
BRD-K09951645-001-06-8,RAF inhibitor
BRD-A09533288-003-31-2,calcium channel blocker
BRD-K09602097-001-13-6,adenylyl cyclase activator
BRD-A10012892-001-01-9,thrombin inhibitor
BRD-A10039652-001-01-2,HIV protease inhibitor
BRD-K10843433-001-22-7,cyclooxygenase inhibitor|prostanoid receptor antagonist
BRD-K10852020-001-04-5,catechol O methyltransferase inhibitor
BRD-A10070317-003-28-3,adrenergic receptor antagonist
BRD-K10670311-001-15-5,antirheumatic drug|NFkB pathway inhibitor
BRD-K10845183-304-01-6,bone resorption inhibitor|osteoclast inhibitor
BRD-K10859802-001-01-0,"Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119) Agonists"
BRD-A10903566-003-07-7,adrenergic receptor antagonist
BRD-A10967948-003-06-3,serotonin receptor antagonist
BRD-K11071038-001-01-7,histamine receptor antagonist
BRD-K11129031-001-27-5,lipoprotein lipase activator
BRD-K10961822-001-05-1,prostanoid receptor agonist
BRD-A10977446-001-12-1,adrenergic receptor antagonist
BRD-K11073688-001-01-6,tumor necrosis factor release inhibitor
BRD-K80738081-001-26-0,cytochrome P450 inhibitor|SIRT activator
BRD-K11196887-001-21-2,bacterial DNA gyrase inhibitor
BRD-A11319535-001-03-6,glucocorticoid receptor agonist
BRD-K11433652-001-17-0,cyclooxygenase inhibitor
BRD-K11153516-001-05-5,PARP inhibitor
BRD-K11267252-001-04-4,ALK tyrosine kinase receptor inhibitor
BRD-K11399644-003-11-3,AMPK activator
BRD-K11717138-001-30-3,chloride channel blocker
BRD-K18895904-001-16-1,dopamine receptor antagonist|serotonin receptor antagonist
BRD-K18922609-004-23-1,acetylcholinesterase inhibitor
BRD-K19061412-001-02-4,receptor tyrosine protein kinase inhibitor
BRD-A18917088-001-04-9,estrogen receptor agonist
BRD-K18961567-001-01-1,MET inhibitor
BRD-K19085898-001-01-8,phospholipase inhibitor
BRD-K19412355-001-01-0,p38 MAPK inhibitor
BRD-K19438463-001-05-5,glutamate receptor antagonist
BRD-K19462402-003-24-6,adrenergic receptor antagonist|calcium channel blocker
BRD-K19416115-001-05-3,dipeptidyl peptidase inhibitor
BRD-K19456237-001-27-6,acetylcholine receptor agonist
BRD-K19477839-001-07-6,hepatocyte growth factor receptor inhibitor
BRD-K53972329-001-07-0,JAK inhibitor
BRD-K19741547-003-01-7,potassium channel blocker
BRD-A19795905-001-08-0,mitochondrial electron transport inhibitor
BRD-A19952358-001-11-3,chitinase inhibitor|NFkB pathway inhibitor
BRD-K20008181-001-01-3,diacylglycerol O acyltransferase inhibitor
BRD-K19761926-001-02-8,cytochrome P450 inhibitor
BRD-K20001883-001-02-7,apolipoprotein expression enhancer
BRD-K20079257-001-09-6,voltage-gated sodium channel blocker
BRD-K20722021-001-02-1,RAF inhibitor
BRD-K20745393-003-01-0,phosphodiesterase inhibitor
BRD-K21071223-001-02-8,beta amyloid antagonist
BRD-K20738689-001-01-2,thromboxane synthase inhibitor
BRD-K20897876-001-10-0,glucosidase inhibitor
BRD-K20958582-001-01-4,DNA alkylating drug
BRD-K21283037-001-21-5,glutamate inhibitor
BRD-K21547160-001-01-4,opiod receptor modulator
BRD-A21607826-003-05-1,adrenergic receptor agonist
BRD-K21680192-300-14-4,topoisomerase inhibitor
BRD-A21858158-001-23-5,anthelmintic agent
BRD-K21548250-003-19-1,sodium channel blocker
BRD-K21670884-001-01-9,sodium/hydrogen exchanger inhibitor
BRD-K21884483-001-03-7,histamine receptor antagonist
BRD-A22081593-001-11-1,adenosine receptor antagonist
BRD-A22380646-236-05-8,ATPase inhibitor
BRD-A22642447-001-01-9,voltage-gated sodium channel blocker
BRD-K22097830-001-01-9,cholesterol inhibitor
BRD-A22305049-003-13-6,gluconeogenesis inhibitor
BRD-K22482860-001-21-4,potassium channel blocker
BRD-K22662435-001-18-3,DNA polymerase inhibitor
BRD-K22861715-001-17-4,breast cancer resistance protein inhibitor
BRD-K22969690-001-04-2,bacterial 50S ribosomal subunit inhibitor
BRD-K23082237-003-01-5,dopamine receptor antagonist
BRD-K23204545-001-16-4,DNA inhibitor
BRD-K22936972-003-23-6,dopamine uptake inhibitor
BRD-A23067620-300-01-3,cytochrome P450 inhibitor
BRD-K23190681-001-01-1,receptor tyrosine protein kinase inhibitor
BRD-K23228615-001-02-8,mTOR inhibitor|PI3K inhibitor
BRD-A24191444-046-02-1,adrenergic receptor antagonist|glutamate receptor antagonist
BRD-A02710418-003-11-8,opioid receptor agonist
BRD-A24560335-300-01-2,PPAR receptor agonist
