Metadata_broad_sample,Metadata_moa
BRD-K51671335-001-01-5,Dopamine receptor antagonist
BRD-K52020312-001-04-5,DNA inhibitor
BRD-K52219182-001-01-6,Phosphodiesterase inhibitor
BRD-K52459643-001-10-2,Prostanoid receptor agonist
BRD-K52512893-001-03-0,Prostanoid receptor antagonist
BRD-K52930707-001-04-8,ACE inhibitor
BRD-K53123955-001-03-0,Phosphofructokinase inhibitor
BRD-K53318339-001-04-1,Phosphodiesterase inhibitor
BRD-K53545112-304-01-6,Glutamate receptor antagonist
BRD-K53737926-003-04-7,Norepinephrine inhibitor
BRD-K53857191-001-04-5,Dopamine receptor antagonist
BRD-K54142781-001-02-1,Adrenergic receptor agonist
BRD-K54529596-001-04-0,ACE inhibitor
BRD-K54665485-001-01-2,Diacylglycerol kinase inhibitor
BRD-K54708045-001-01-3,PPAR receptor agonist
BRD-K54759182-003-02-3,Norepinephrine reuptake inhibitor
BRD-K54771420-001-03-2,Cholesterol inhibitor
BRD-K54790157-001-03-1,DNA synthesis inhibitor
BRD-K55191674-236-03-7,Penicillin binding protein inhibitor
BRD-K55344148-003-01-8,Imidazoline receptor ligand
BRD-K55424922-001-01-4,Serotonin receptor agonist
BRD-K55430733-003-01-6,Serotonin receptor agonist
BRD-K55930204-001-02-7,Hydantoin antiepileptic
BRD-K56047318-001-02-2,Triacylglycerol lipase inhibitor
BRD-K56115039-003-01-3,Imidazoline receptor ligand
BRD-K56403959-300-01-9,CC chemokine receptor ligand
BRD-K56509348-003-01-3,Endothelin receptor antagonist
BRD-K56558538-003-02-8,Sodium channel blocker
BRD-K56596464-004-02-4,Sodium channel blocker
BRD-K57033106-048-02-8,Histamine receptor antagonist
BRD-K57179821-001-04-8,Antipruritic
BRD-K57304726-003-03-6,Sigma receptor agonist
BRD-K57569181-001-04-4,Phosphodiesterase inhibitor
BRD-K57718010-001-06-9,GABA receptor antagonist
BRD-K57926513-001-02-9,PDGFR receptor inhibitor
BRD-K59469039-001-04-9,Angiogenesis inhibitor
BRD-K60060639-005-01-4,antiarrhythmic medication
BRD-A68039575-001-02-5,Aromatase inhibitor
BRD-K14536225-001-02-7,Glucosidase inhibitor
BRD-K41160163-001-01-9,Glutamate receptor antagonist
BRD-K61269089-001-01-4,Protein kinase inhibitor
BRD-K61737877-001-01-6,VEGFR inhibitor
BRD-K62056274-001-01-9,Serotonin receptor agonist
BRD-K62289640-003-01-9,Cannabinoid receptor agonist
BRD-K62929068-001-01-7,Purinergic receptor activator
BRD-K63089472-001-02-7,Inhibitor of methyl esterification of farnesylated proteins
BRD-K63151507-001-01-6,Lymphocyte inhibitor
BRD-K63165456-001-03-3,Adrenergic receptor agonist
BRD-K63430059-001-03-2,DNA synthesis inhibitor
BRD-K63516691-001-01-6,Phosphodiesterase inhibitor
BRD-K63784565-001-02-1,Topoisomerase inhibitor
BRD-K63945320-001-02-4,Phospholipase inhibitor
BRD-K63979671-001-03-6,Compound used in hepatobiliary scans of the liver
BRD-K64044582-001-02-8,ACAT inhibitor
BRD-K64157027-003-01-9,Adrenergic receptor agonist
BRD-K64245000-001-01-7,FXR agonist
BRD-K64402243-001-01-1,Caspase inhibitor
BRD-K64994968-001-03-6,Progesterone receptor agonist
BRD-K65146499-001-04-8,Cyclooxygenase inhibitor
BRD-K65417056-003-03-6,Local anesthetic
BRD-K65786282-001-02-6,GABA receptor modulator
BRD-K66093087-001-01-5,Benzodiazepine receptor agonist
BRD-K66206289-003-03-1,Acetylcholine receptor antagonist
BRD-K66707493-001-02-6,Coloring agent
BRD-K66782112-001-01-2,Histamine receptor antagonist
BRD-K66944906-001-02-6,Carbonic anhydrase inhibitor
BRD-K67017579-001-13-3,Phosphodiesterase inhibitor
BRD-K67102207-236-01-0,HDAC inhibitor
BRD-K67261995-001-03-4,Contrast agent
BRD-K67352070-364-01-5,Acetylcholine receptor agonist
BRD-K67445247-001-01-3,Urease inhibitor
BRD-K67680372-003-01-8,GAT inhibitor
BRD-K67783091-001-05-5,Dopamine receptor antagonist
BRD-K68095457-001-04-4,Cannabinoid receptor agonist
BRD-K68190965-001-01-4,Serotonin receptor agonist
BRD-K68246049-001-01-4,Retinoid receptor agonist
BRD-K68264559-001-07-6,Adrenergic receptor agonist
BRD-K68392338-003-01-2,Benzodiazepine receptor antagonist
BRD-K68558722-001-02-4,Cyclooxygenase inhibitor
BRD-K69032158-001-02-2,Dipeptidyl peptidase inhibitor
BRD-K69195780-001-01-5,Serotonin receptor agonist
BRD-K69556541-001-02-6,Calcium channel blocker
BRD-K69763916-001-01-7,Glutamate receptor antagonist
BRD-K69837166-003-01-2,Nociceptin/orphanin FQ (NOP) receptor antagonist
BRD-K70241288-001-01-1,Growth hormone releasing peptide ligand agonist
BRD-K70281171-001-01-7,Dopamine receptor antagonist
BRD-K70330367-001-02-4,Glutamate receptor antagonist
BRD-K70881766-001-02-3,Acetylcholinesterase inhibitor
BRD-K70976396-236-04-7,Bacterial cell wall synthesis inhibitor
BRD-K71003802-001-02-9,Plant alkaloid
BRD-K71499074-001-03-8,Carbonic anhydrase inhibitor
BRD-K71534238-001-03-5,Free fatty acid receptor agonist
BRD-K71731651-001-01-9,Acetylcholine receptor agonist
BRD-K71799949-001-04-2,Carboxamide antiepileptic
BRD-K72222507-003-02-8,ACE inhibitor
BRD-K72903603-001-03-8,Reverse transcriptase inhibitor
BRD-K73109821-001-05-2,Potassium channel activator
BRD-K73391359-003-03-7,Local anesthetic
BRD-K73395020-001-01-5,-666
BRD-K73589401-001-03-8,mineralocorticoid receptor agonist
BRD-K74112339-001-02-7,Urease inhibitor
BRD-K74141488-003-03-9,Fungal squalene epoxidase inhibitor
BRD-K74195153-050-03-0,Phosphodiesterase inhibitor
BRD-K74212935-001-03-1,Dopamine agonist
BRD-K74765201-001-01-9,Leukotriene receptor antagonist
BRD-K74913225-001-03-3,Carbonic anhydrase inhibitor
BRD-K75615183-001-01-7,Adrenergic receptor agonist
BRD-K75641298-001-01-5,Dopamine receptor antagonist
BRD-K76133116-001-01-2,Membrane integrity inhibitor
BRD-K76274772-001-02-7,Ceramidase inhibitor
BRD-K76587808-001-02-0,Antioxidant
BRD-K76775527-001-06-2,Cyclooxygenase inhibitor
BRD-K76872913-001-02-8,Aromatic hydrocarbon derivative
